latitude,longitude,name,desc,color,source,precision
33.6435585,-111.9201584,"7575 E. Princess Drive, Scottsdale, AZ","7575 E Princess Dr, Scottsdale, AZ 85255",,Bing Maps,address
33.6231087,-111.9258276,"15024 North Scottsdale Road, Scottsdale, AZ","15024 N Scottsdale Rd, Scottsdale, AZ 85254",,Bing Maps,address
33.5013847,-111.9282684,"7135 E. Camelback Rd., Scottsdale, AZ","7135 E Camelback Rd, Scottsdale, AZ 85251",,Bing Maps,address
33.490696,-111.9279633,"3701 N Marshall Way, Scottsdale, AZ","3701 N Marshall Way, Scottsdale, AZ 85251",,Bing Maps,address
33.4980316,-111.927948,"7111 E 5th Avenue Ste. E, Scottsdale, AZ","7111 E 5th Ave, Scottsdale, AZ 85251",,Bing Maps,address
33.4933357,-111.9312057,"6936 E Main St, Scottsdale, AZ","6936 E Main St, Scottsdale, AZ 85251",,Bing Maps,address
33.5015488,-111.9241486,"7277 E. Camelback Rd., Scottsdale, AZ","7277 E Camelback Rd, Scottsdale, AZ 85251",,Bing Maps,address
33.4990565,-111.9213235,"4301 N. Civic Center Plaza, Scottsdale, AZ","4301 N Civic Center Plaza, Scottsdale, AZ 85251",,Bing Maps,address
33.5011635,-111.9255142,"7216 E Shoeman Lane, Scottsdale, AZ","7216 E Shoeman Ln, Scottsdale, AZ 85251",,Bing Maps,address
33.5087433,-111.9452972,"6000 E. Camelback Rd. (inside The Phoenician Resort), Scottsdale, AZ","6000 E Camelback Rd, Scottsdale, AZ 85251",,Bing Maps,address
33.4992155,-111.9275925,"7133 E. Stetson Dr., Scottsdale, AZ","7133 E Stetson Dr, Scottsdale, AZ 85251",,Bing Maps,address
33.4993591,-111.927063,"7137 E. Stetson Dr., Scottsdale, AZ","7137 E Stetson Dr, Scottsdale, AZ 85251",,Bing Maps,address
33.4992155,-111.9275925,"7133 E. Stetson Dr., Scottsdale, AZ","7133 E Stetson Dr, Scottsdale, AZ 85251",,Bing Maps,address
33.5421932,-111.9256344,"7299 N. Scottsdale Rd. , Scottsdale, AZ","7299 N Scottsdale Rd, Scottsdale, AZ 85253",,Bing Maps,address
