"zcta5","zipname","pop10","afact"
"ZIP Census Tabulation Area","zipname","Total Pop, 2010 census","zcta5 to _us_ alloc factor"
"14526","Penfield, NY",19804,1 
"14527","Penn Yan, NY",12820,1 
"14529","Perkinsville, NY (PO Boxes)",67,1 
"14530","Perry, NY",5575,1 
"14532","Phelps, NY",4431,1 
"14533","Piffard, NY",2000,1 
"14534","Pittsford, NY",31426,1 
"14536","Portageville, NY",687,1 
"14537","Port Gibson, NY",207,1 
"14539","Retsof, NY",242,1 
"14541","Romulus, NY",4129,1 
"14542","Rose, NY (PO Boxes)",97,1 
"14543","Rush, NY",3152,1 
"14544","Rushville, NY",2101,1 
"14545","Scottsburg, NY",173,1 
"14546","Scottsville, NY",4695,1 
"14548","Shortsville, NY",4249,1 
"14549","Silver Lake, NY (PO Boxes)",91,1 
"14550","Silver Springs, NY",1537,1 
"14551","Sodus, NY",5651,1 
"14555","Sodus Point, NY",974,1 
"14559","Spencerport, NY",18057,1 
"14560","Springwater, NY",2164,1 
"14561","Stanley, NY",3086,1 
"14564","Victor, NY",14487,1 
"14568","Walworth, NY",6048,1 
"14569","Warsaw, NY",6211,1 
"14571","Waterport, NY",1176,1 
"14572","Wayland, NY",5081,1 
"14580","Webster, NY",50587,1 
"14585","West Bloomfield, NY",120,1 
"14586","West Henrietta, NY",10256,1 
"14588","Willard, NY (PO Boxes)",749,1 
"14589","Williamson, NY",7854,1 
"14590","Wolcott, NY",5446,1 
"14591","Wyoming, NY",1748,1 
"14592","York Hamlet, NY",110,1 
"14604","Rochester, NY",1743,1 
"14605","Rochester, NY",12610,1 
"14606","Rochester, NY",28255,1 
"14607","Rochester, NY",16223,1 
"14608","Rochester, NY",12268,1 
"14609","Rochester, NY",42571,1 
"14610","Rochester, NY",14233,1 
"14611","Rochester, NY",17396,1 
"14612","Rochester, NY",34515,1 
"14613","Rochester, NY",14730,1 
"14614","Rochester, NY",1224,1 
"14615","Rochester, NY",16099,1 
"14616","Rochester, NY",28534,1 
"14617","Irondequoit, NY",22789,1 
"14618","Brighton, NY",22920,1 
"14619","Rochester, NY",14749,1 
"14620","Rochester, NY",25141,1 
"14621","Rochester, NY",33802,1 
"14622","Irondequoit, NY",12108,1 
"14623","Rochester, NY",27173,1 
"14624","Rochester, NY",36296,1 
"14625","Rochester, NY",10387,1 
"14626","Rochester, NY",30041,1 
"14627","Rochester, NY",2320,1 
"14701","Jamestown, NY",40730,1 
"14706","Allegany, NY",6356,1 
"14707","Allentown, NY",239,1 
"14708","Alma, NY",183,1 
"14709","Angelica, NY",1535,1 
"14710","Ashville, NY",3540,1 
"14711","Belfast, NY",1766,1 
"14712","Bemus Point, NY",3342,1 
"14714","Black Creek, NY",487,1 
"14715","Bolivar, NY",2747,1 
"14716","Brocton, NY",3104,1 
"14717","Caneadea, NY",636,1 
"14718","Cassadaga, NY",2163,1 
"14719","Cattaraugus, NY",3497,1 
"14720","Celoron, NY",675,1 
"14721","Ceres, NY",230,1 
"14722","Chautauqua, NY",153,1 
"14723","Cherry Creek, NY",1295,1 
"14724","Clymer, NY",2540,1 
"14726","Conewango Valley, NY",2156,1 
"14727","Cuba, NY",5450,1 
"14728","Dewittville, NY",1031,1 
"14729","East Otto, NY",948,1 
"14731","Ellicottville, NY",1576,1 
"14732","Ellington, NY (PO Boxes)",211,1 
"14733","Falconer, NY",3833,1 
"14735","Fillmore, NY",2751,1 
"14736","Findley Lake, NY",282,1 
"14737","Franklinville, NY",4252,1 
"14738","Frewsburg, NY",3651,1 
"14739","Friendship, NY",2903,1 
"14740","Gerry, NY",1431,1 
"14741","Great Valley, NY",1873,1 
"14742","Greenhurst, NY (PO Boxes)",314,1 
"14743","Hinsdale, NY",1783,1 
"14744","Houghton, NY",2094,1 
"14747","Kennedy, NY",2289,1 
"14748","Kill Buck, NY",746,1 
"14750","Lakewood, NY",4426,1 
"14752","Lily Dale, NY (PO Boxes)",169,1 
"14753","Limestone, NY",1166,1 
"14754","Little Genesee, NY",667,1 
"14755","Little Valley, NY",2916,1 
"14756","Maple Springs, NY",110,1 
"14757","Mayville, NY",3487,1 
"14760","Olean, NY",18775,1 
"14767","Panama, NY",2088,1 
"14769","Portland, NY",919,1 
"14770","Portville, NY",2963,1 
"14772","Randolph, NY",4255,1 
"14774","Richburg, NY",151,1 
"14775","Ripley, NY",2537,1 
"14777","Rushford, NY",667,1 
"14778","St. Bonaventure, NY",1453,1 
"14779","Salamanca, NY",6932,1 
"14781","Sherman, NY",2225,1 
"14782","Sinclairville, NY",2401,1 
"14783","Steamburg, NY (PO Boxes)",320,1 
"14784","Stockton, NY",1033,1 
"14787","Westfield, NY",5121,1 
"14788","Weston Mills, NY",163,1 
"14801","Addison, NY",5475,1 
"14802","Alfred, NY",4135,1 
"14803","Alfred Station, NY",1174,1 
"14804","Almond, NY",1479,1 
"14805","Alpine, NY",1100,1 
"14806","Andover, NY",2269,1 
"14807","Arkport, NY",3076,1 
"14808","Atlanta, NY",591,1 
"14809","Avoca, NY",2552,1 
"14810","Bath, NY",12356,1 
"14812","Beaver Dams, NY",3478,1 
"14813","Belmont, NY",2520,1 
"14814","Big Flats, NY",1931,1 
"14815","Bradford, NY",946,1 
"14816","Breesport, NY",520,1 
"14817","Brooktondale, NY",2380,1 
"14818","Burdett, NY",1745,1 
"14819","Cameron, NY",733,1 
"14820","Cameron Mills, NY",784,1 
"14821","Campbell, NY",3314,1 
"14822","Canaseraga, NY",1169,1 
"14823","Canisteo, NY",3754,1 
"14824","Cayuta, NY",678,1 
"14825","Chemung, NY",919,1 
"14826","Cohocton, NY",2216,1 
"14827","Coopers Plains, NY",191,1 
"14830","Corning, NY",19850,1 
"14836","Dalton, NY",1009,1 
"14837","Dundee, NY",5648,1 
"14838","Erin, NY",1956,1 
"14839","Greenwood, NY",793,1 
"14840","Hammondsport, NY",3061,1 
"14841","Hector, NY",915,1 
"14842","Himrod, NY",938,1 
"14843","Hornell, NY",13043,1 
"14845","Horseheads, NY",20453,1 
"14846","Hunt, NY",792,1 
"14847","Interlaken, NY",2398,1 
"14850","Ithaca, NY",63886,1 
"14853","Ithaca, NY",2755,1 
"14854","Jacksonville, NY (PO Boxes)",37,1 
"14855","Jasper, NY",956,1 
"14856","Kanona, NY (PO Boxes)",215,1 
"14858","Lindley, NY",1598,1 
"14859","Lockwood, NY",1029,1 
"14860","Lodi, NY",1039,1 
"14861","Lowman, NY",1404,1 
"14864","Millport, NY",1307,1 
"14865","Montour Falls, NY",2607,1 
"14867","Newfield, NY",5569,1 
"14869","Odessa, NY",1378,1 
"14870","Gang Mills, NY",9821,1 
"14871","Pine City, NY",5456,1 
"14872","Pine Valley, NY",605,1 
"14873","Prattsburgh, NY",2448,1 
"14874","Pulteney, NY",250,1 
"14877","Rexville, NY",401,1 
"14878","Rock Stream, NY",781,1 
"14879","Savona, NY",2398,1 
"14880","Scio, NY",1668,1 
"14881","Slaterville Springs, NY",192,1 
"14882","Lansing, NY",3826,1 
"14883","Spencer, NY",4136,1 
"14884","Swain, NY",273,1 
"14885","Troupsburg, NY",873,1 
"14886","Trumansburg, NY",6753,1 
"14889","Van Etten, NY",1590,1 
"14891","Watkins Glen, NY",4149,1 
"14892","Waverly, NY",8189,1 
"14893","Wayne, NY (PO Boxes)",6,1 
"14894","Wellsburg, NY",1454,1 
"14895","Wellsville, NY",9616,1 
"14897","Whitesville, NY",980,1 
"14898","Woodhull, NY",1734,1 
"14901","Elmira, NY",16736,1 
"14903","Elmira Heights, NY",7567,1 
"14904","Elmira, NY",16269,1 
"14905","West Elmira, NY",9070,1 
"15001","Aliquippa, PA",31964,1 
"15003","Ambridge, PA",11861,1 
"15004","Atlasburg, PA",351,1 
"15005","Baden, PA",9450,1 
"15006","Bairdford, PA",240,1 
"15007","Bakerstown, PA",323,1 
"15009","Beaver, PA",15082,1 
"15010","Beaver Falls, PA",28425,1 
"15012","Belle Vernon, PA",15905,1 
"15014","Brackenridge, PA",3184,1 
"15015","Bradford Woods, PA",1175,1 
"15017","Bridgeville, PA",16213,1 
"15018","Buena Vista, PA",821,1 
"15019","Bulger, PA",1719,1 
"15020","Bunola, PA (PO Boxes)",231,1 
"15021","Burgettstown, PA",7352,1 
"15022","Charleroi, PA",10340,1 
"15024","Cheswick, PA",9029,1 
"15025","Jefferson Hills, PA",15944,1 
"15026","Clinton, PA",3390,1 
"15027","Conway, PA",2201,1 
"15028","Coulters, PA (PO Boxes)",142,1 
"15030","Creighton, PA",1128,1 
"15031","Cuddy, PA",513,1 
"15033","Donora, PA",4910,1 
"15034","Dravosburg, PA",1792,1 
"15035","East McKeesport, PA",2129,1 
"15037","Elizabeth, PA",10894,1 
"15038","Elrama, PA",325,1 
"15042","Freedom, PA",8105,1 
"15043","Georgetown, PA",2458,1 
"15044","Gibsonia, PA",27049,1 
"15045","Glassport, PA",4483,1 
"15046","Crescent, PA",2640,1 
"15047","Greenock, PA (PO Boxes)",151,1 
"15049","Harwick, PA",895,1 
"15050","Hookstown, PA",2431,1 
"15051","Indianola, PA",461,1 
"15052","Ohioville, PA",3483,1 
"15053","Joffre, PA",154,1 
"15054","Langeloth, PA",375,1 
"15055","Lawrence, PA",1360,1 
"15056","Leetsdale, PA",1140,1 
"15057","Mc Donald, PA",13930,1 
"15059","Midland, PA",4193,1 
"15060","Midway, PA",790,1 
"15061","Monaca, PA",12799,1 
"15062","Monessen, PA",7731,1 
"15063","Monongahela, PA",11677,1 
"15064","Morgan, PA",382,1 
"15065","Natrona Heights, PA",11588,1 
"15066","New Brighton, PA",12785,1 
"15067","New Eagle, PA",2281,1 
"15068","New Kensington, PA",38785,1 
"15071","Oakdale, PA",9956,1 
"15072","Lynnwood-Pricedale, PA",101,1 
"15074","Rochester, PA",8874,1 
"15075","Rural Ridge, PA (PO Boxes)",128,1 
"15076","Russellton, PA",849,1 
"15077","Shippingport, PA",198,1 
"15078","Slovan, PA",523,1 
"15081","South Heights, PA",475,1 
"15082","Sturgeon, PA",350,1 
"15083","Sutersville, PA",952,1 
"15084","Tarentum, PA",10130,1 
"15085","Level Green, PA",7944,1 
"15086","Warrendale, PA",300,1 
"15087","Webster, PA",234,1 
"15088","West Elizabeth, PA",535,1 
"15089","West Newton, PA",6262,1 
"15090","Wexford, PA",21202,1 
"15101","Allison Park, PA",24292,1 
"15102","Bethel Park, PA",29529,1 
"15104","North Braddock, PA",9038,1 
"15106","Carnegie, PA",18536,1 
"15108","Coraopolis, PA",40153,1 
"15110","Duquesne, PA",5565,1 
"15112","East Pittsburgh, PA",3292,1 
"15116","Glenshaw, PA",14427,1 
"15120","Munhall, PA",18931,1 
"15122","West Mifflin, PA",20131,1 
"15126","Imperial, PA",7014,1 
"15129","South Park Township, PA",10920,1 
"15131","White Oak, PA",8240,1 
"15132","McKeesport, PA",21472,1 
"15133","Port Vue, PA",6432,1 
"15135","Mckeesport, PA",5139,1 
"15136","Mc Kees Rocks, PA",21849,1 
"15137","North Versailles, PA",10228,1 
"15139","Oakmont, PA",6307,1 
"15140","Pitcairn, PA",3294,1 
"15142","Presto, PA",1163,1 
"15143","Sewickley, PA",19660,1 
"15144","Springdale, PA",4142,1 
"15145","Turtle Creek, PA",7132,1 
"15146","Monroeville, PA",28323,1 
"15147","Verona, PA",17395,1 
"15148","Wilmerding, PA",2814,1 
"15201","Pittsburgh, PA",12713,1 
"15202","Bellevue, PA",19685,1 
"15203","Pittsburgh, PA",9949,1 
"15204","Pittsburgh, PA",8329,1 
"15205","Pittsburgh, PA",21865,1 
"15206","Pittsburgh, PA",28615,1 
"15207","Pittsburgh, PA",11268,1 
"15208","Pittsburgh, PA",10406,1 
"15209","Pittsburgh, PA",12438,1 
"15210","Pittsburgh, PA",25954,1 
"15211","Pittsburgh, PA",11081,1 
"15212","Pittsburgh, PA",27895,1 
"15213","Pittsburgh, PA",30844,1 
"15214","Pittsburgh, PA",14352,1 
"15215","Pittsburgh, PA",12615,1 
"15216","Pittsburgh, PA",23350,1 
"15217","Pittsburgh, PA",27220,1 
"15218","Swissvale, PA",13851,1 
"15219","Pittsburgh, PA",16696,1 
"15220","Pittsburgh, PA",17718,1 
"15221","Wilkinsburg, PA",31060,1 
"15222","Pittsburgh, PA",3294,1 
"15223","Pittsburgh, PA",7236,1 
"15224","Pittsburgh, PA",10141,1 
"15225","Pittsburgh, PA",1084,1 
"15226","Pittsburgh, PA",13974,1 
"15227","Brentwood, PA",28156,1 
"15228","Pittsburgh, PA",17595,1 
"15229","Pittsburgh, PA",13825,1 
"15232","Pittsburgh, PA",11374,1 
"15233","Pittsburgh, PA",4451,1 
"15234","Castle Shannon, PA",14056,1 
"15235","Pittsburgh, PA",34580,1 
"15236","Baldwin, PA",29724,1 
"15237","Pittsburgh, PA",41895,1 
"15238","Pittsburgh, PA",13162,1 
"15239","Plum, PA",21024,1 
"15241","Upper St. Clair, PA",20395,1 
"15243","Pittsburgh, PA",13406,1 
"15301","Washington, PA",49331,1 
"15310","Aleppo, PA",290,1 
"15311","Amity, PA",1391,1 
"15312","Avella, PA",3579,1 
"15313","Beallsville, PA",377,1 
"15314","Bentleyville, PA",3788,1 
"15315","Bobtown, PA",776,1 
"15316","Brave, PA",131,1 
"15317","Canonsburg, Pa, PA",36535,1 
"15320","Carmichaels, PA",5384,1 
"15321","Cecil-Bishop, PA",1676,1 
"15322","Clarksville, PA",2018,1 
"15323","Claysville, PA",4542,1 
"15324","Cokeburg, PA",632,1 
"15325","Crucible, PA",439,1 
"15327","Dilliner, PA",1527,1 
"15329","Prosperity, PA",1709,1 
"15330","Eighty Four, PA",5299,1 
"15331","Ellsworth, PA",1090,1 
"15332","Finleyville, PA",8148,1 
"15333","Deemston, PA",2150,1 
"15334","Garards Fort, PA",113,1 
"15337","Graysville, PA",744,1 
"15338","Greensboro, PA",1606,1 
"15340","Hickory, PA",1469,1 
"15341","Holbrook, PA",869,1 
"15342","McGovern, PA",4818,1 
"15344","Jefferson, PA",1450,1 
"15345","Marianna, PA",1642,1 
"15346","Mather, PA",749,1 
"15347","Meadowlands, PA",582,1 
"15348","Millsboro, PA",283,1 
"15349","Mount Morris, PA",1737,1 
"15350","Muse, PA",425,1 
"15351","Nemacolin, PA",901,1 
"15352","New Freeport, PA",987,1 
"15353","Nineveh, PA (PO Boxes)",64,1 
"15357","Dry Tavern, PA",1661,1 
"15358","Centerville, PA",923,1 
"15359","Rogersville, PA",174,1 
"15360","Scenery Hill, PA",1731,1 
"15361","Southview, PA",151,1 
"15362","Strabane, PA",767,1 
"15363","Strabane, PA",760,1 
"15364","Sycamore, PA",869,1 
"15366","Van Voorhis, PA",164,1 
"15367","Venetia, PA",8731,1 
"15368","Vestaburg, PA (PO Boxes)",473,1 
"15370","Waynesburg, PA",14870,1 
"15376","West Alexander, PA",1740,1 
"15377","West Finley, PA",724,1 
"15378","Westland, PA",106,1 
"15379","West Middletown, PA",132,1 
"15380","Wind Ridge, PA",719,1 
"15401","Uniontown, PA",32288,1 
"15410","Adah, PA",905,1 
"15411","Addison, PA",661,1 
"15412","Allenport, PA",470,1 
"15413","Allison, PA",551,1 
"15417","Brownsville, PA",9469,1 
"15419","California, PA",4492,1 
"15420","Cardale, PA (PO Boxes)",251,1 
"15421","Deer Lake, PA",112,1 
"15422","Chestnut Ridge, PA (PO Boxes)",220,1 
"15423","California, PA",1781,1 
"15424","Confluence, PA",2489,1 
"15425","Connellsville, PA",19270,1 
"15427","Daisytown, PA",1091,1 
"15428","Dawson, PA",1806,1 
"15429","Centerville, PA",126,1 
"15430","Dickerson Run, PA (PO Boxes)",314,1 
"15431","Dunbar, PA",4744,1 
"15432","Dunlevy, PA",427,1 
"15433","East Millsboro, PA",741,1 
"15434","Elco, PA",313,1 
"15435","Fairbank, PA (PO Boxes)",437,1 
"15436","Fairchance, PA",2740,1 
"15437","Farmington, PA",2573,1 
"15438","Fayette City, PA",2221,1 
"15440","Gibbon Glade, PA",349,1 
"15442","Grindstone, PA",2105,1 
"15443","Hibbs, PA (PO Boxes)",377,1 
"15444","Hiller, PA",517,1 
"15445","Hopwood, PA",2693,1 
"15446","Indian Head, PA",324,1 
"15447","Isabella, PA (PO Boxes)",181,1 
"15448","Jacobs Creek, PA (PO Boxes)",192,1 
"15449","Keisterville, PA (PO Boxes)",184,1 
"15450","La Belle, PA",2323,1 
"15451","Lake Lynn, PA",955,1 
"15454","Leckrone, PA (PO Boxes)",237,1 
"15455","Leisenring, PA (PO Boxes)",298,1 
"15456","Lemont Furnace, PA",2976,1 
"15458","Mc Clellandtown, PA",2379,1 
"15459","Markleysburg, PA",1763,1 
"15460","Martin, PA (PO Boxes)",120,1 
"15461","Masontown, PA",4333,1 
"15462","Melcroft, PA",398,1 
"15463","Merrittstown, PA (PO Boxes)",64,1 
"15464","Mill Run, PA",1536,1 
"15466","Newell, PA",458,1 
"15467","New Geneva, PA (PO Boxes)",141,1 
"15468","New Salem, PA",2303,1 
"15469","Normalville, PA",2331,1 
"15470","Ohiopyle, PA",982,1 
"15472","Oliver, PA",306,1 
"15473","Perryopolis, PA",3862,1 
"15474","Point Marion, PA",2049,1 
"15475","Republic, PA",1356,1 
"15476","Ronco, PA",157,1 
"15477","Roscoe, PA",855,1 
"15478","Smithfield, PA",6446,1 
"15479","Smithton, PA",2113,1 
"15480","Smock, PA",1946,1 
"15482","Star Junction, PA",604,1 
"15483","Stockdale, PA",513,1 
"15484","Uledi, PA (PO Boxes)",328,1 
"15486","Vanderbilt, PA",2303,1 
"15489","West Leisenring, PA (PO Boxes)",389,1 
"15490","White, PA",628,1 
"15492","Wickhaven, PA (PO Boxes)",108,1 
"15501","Somerset, PA",16861,1 
"15502","Hidden Valley, PA",191,1 
"15510","State Correctional Center, Somerset, PA",2229,1 
"15520","Acosta, PA (PO Boxes)",293,1 
"15521","Alum Bank, PA",1872,1 
"15522","Bedford, PA",12036,1 
"15530","Berlin, PA",5368,1 
"15531","Boswell, PA",3861,1 
"15532","Boynton, PA (PO Boxes)",142,1 
"15533","Breezewood, PA",1370,1 
"15534","Buffalo Mills, PA",932,1 
"15535","Clearville, PA",2203,1 
"15536","Crystal Spring, PA",459,1 
"15537","Everett, PA",7952,1 
"15538","Fairhope, PA",824,1 
"15539","Fishertown, PA",498,1 
"15540","Fort Hill, PA",290,1 
"15541","Friedens, PA",3721,1 
"15542","Garrett, PA",1175,1 
"15544","Gray, PA (PO Boxes)",264,1 
"15545","Hyndman, PA",2879,1 
"15546","Jenners, PA",386,1 
"15547","Jennerstown, PA",504,1 
"15550","Manns Choice, PA",1699,1 
"15551","Markleton, PA",860,1 
"15552","Meyersdale, PA",6115,1 
"15554","New Paris, PA",2553,1 
"15555","Quecreek, PA (PO Boxes)",112,1 
"15557","Rockwood, PA",3684,1 
"15558","Salisbury, PA",2126,1 
"15559","Schellsburg, PA",1968,1 
"15560","Shanksville, PA",175,1 
"15561","Sipesville, PA (PO Boxes)",168,1 
"15562","Springs, PA",201,1 
"15563","Stoystown, PA",3345,1 
"15564","Wellersburg, PA",50,1 
"15601","Greensburg, PA",59483,1 
"15610","Acme, PA",3738,1 
"15611","Adamsburg, PA",543,1 
"15612","Alverton, PA",474,1 
"15613","Apollo, PA",13933,1 
"15615","Ardara, PA",387,1 
"15616","Armbrust, PA (PO Boxes)",23,1 
"15617","Arona, PA",367,1 
"15618","Avonmore, PA",2634,1 
"15620","Bradenville, PA",911,1 
"15621","Calumet, PA (PO Boxes)",47,1 
"15622","Champion, PA",1387,1 
"15623","Claridge, PA",762,1 
"15624","Crabtree, PA",410,1 
"15625","Darragh, PA (PO Boxes)",144,1 
"15626","Delmont, PA",5105,1 
"15627","Derry, PA",6544,1 
"15628","Donegal, PA",525,1 
"15629","East Vandergrift, PA",676,1 
"15631","Everson, PA",1075,1 
"15632","Murrysville, PA",9363,1 
"15633","Forbes Road, PA (PO Boxes)",293,1 
"15634","Grapeville, PA",523,1 
"15635","Hannastown, PA (PO Boxes)",220,1 
"15636","Harrison City, PA",3946,1 
"15637","Herminie, PA",1861,1 
"15638","Hostetter, PA",288,1 
"15639","Hunker, PA",2301,1 
"15640","Hutchinson, PA (PO Boxes)",378,1 
"15641","Hyde Park, PA",500,1 
"15642","Irwin, PA",45286,1 
"15644","Jeannette, PA",18836,1 
"15646","Jones Mills, PA",233,1 
"15647","Larimer, PA",314,1 
"15650","Latrobe, PA",28432,1 
"15655","Laughlintown, PA",423,1 
"15656","Leechburg, PA",10298,1 
"15658","Ligonier, PA",8916,1 
"15660","Lowber, PA (PO Boxes)",323,1 
"15661","Loyalhanna, PA",504,1 
"15662","Luxor, PA (PO Boxes)",271,1 
"15663","Madison, PA",455,1 
"15665","Manor, PA",1472,1 
"15666","Mount Pleasant, PA",16461,1 
"15668","Murrysville, PA",13139,1 
"15670","New Alexandria, PA",3649,1 
"15671","New Derry, PA",865,1 
"15672","New Stanton, PA",3334,1 
"15673","North Apollo, PA",1296,1 
"15675","Penn, PA",1003,1 
"15676","Pleasant Unity, PA (PO Boxes)",437,1 
"15677","Rector, PA",389,1 
"15678","Rillton, PA",476,1 
"15679","Ruffs Dale, PA",3343,1 
"15680","Salina, PA (PO Boxes)",101,1 
"15681","Saltsburg, PA",5241,1 
"15683","Scottdale, PA",8248,1 
"15684","Slickville, PA",841,1 
"15686","Spring Church, PA",972,1 
"15687","Stahlstown, PA",1476,1 
"15688","Tarrs, PA",641,1 
"15689","Calumet, PA",229,1 
"15690","Vandergrift, PA",9078,1 
"15691","Wendel, PA (PO Boxes)",70,1 
"15692","Westmoreland City, PA",941,1 
"15693","Whitney, PA (PO Boxes)",189,1 
"15695","Wyano, PA",337,1 
"15696","Youngstown, PA",384,1 
"15697","Youngwood, PA",3038,1 
"15698","Yukon, PA",791,1 
"15701","Indiana, PA",34704,1 
"15710","Heilwood, PA",266,1 
"15711","Anita, PA",412,1 
"15712","Arcadia, PA (PO Boxes)",151,1 
"15713","Aultman, PA",294,1 
"15714","Northern Cambria, PA",5323,1 
"15715","Big Run, PA",621,1 
"15716","Black Lick, PA",683,1 
"15717","Blairsville, PA",10847,1 
"15721","Burnside, PA",234,1 
"15722","Carrolltown, PA",2432,1 
"15723","Chambersville, PA (PO Boxes)",46,1 
"15724","Cherry Tree, PA",2412,1 
"15725","Clarksburg, PA",1446,1 
"15727","Jacksonville, PA",168,1 
"15728","Clymer, PA",3701,1 
"15729","Commodore, PA",1537,1 
"15730","Coolspring, PA",69,1 
"15731","Coral, PA",315,1 
"15732","Creekside, PA",1669,1 
"15733","De Lancey, PA (PO Boxes)",108,1 
"15734","Dicksonville, PA",322,1 
"15736","Elderton, PA",613,1 
"15737","Elmora, PA (PO Boxes)",83,1 
"15738","Emeigh, PA (PO Boxes)",265,1 
"15739","Ernest, PA",462,1 
"15741","Gipsy, PA (PO Boxes)",83,1 
"15742","Glen Campbell, PA",950,1 
"15744","Hamilton, PA",105,1 
"15745","Heilwood, PA",337,1 
"15746","Hillsdale, PA (PO Boxes)",135,1 
"15747","Home, PA",2027,1 
"15748","Homer City, PA",7060,1 
"15750","Black Lick, PA",245,1 
"15752","Jacksonville, PA",54,1 
"15753","La Jose, PA",513,1 
"15754","Lucerne Mines, PA",502,1 
"15756","Jacksonville, PA",207,1 
"15757","Mahaffey, PA",1618,1 
"15759","Marion Center, PA",3004,1 
"15760","Marsteller, PA",152,1 
"15761","Heilwood, PA",111,1 
"15762","Nicktown, PA",823,1 
"15764","Oliveburg, PA",163,1 
"15765","Penn Run, PA",1707,1 
"15767","Punxsutawney, PA",14668,1 
"15770","Ringgold, PA (PO Boxes)",184,1 
"15771","Rochester Mills, PA",991,1 
"15772","Rossiter, PA",1715,1 
"15773","Saint Benedict, PA",516,1 
"15774","Shelocta, PA",3029,1 
"15775","Northern Cambria, PA",751,1 
"15776","Sprankle Mills, PA",52,1 
"15777","Starford, PA",170,1 
"15778","Timblin, PA",140,1 
"15779","Torrance, PA (PO Boxes)",414,1 
"15780","Valier, PA",148,1 
"15781","Walston, PA (PO Boxes)",94,1 
"15783","West Lebanon, PA (PO Boxes)",140,1 
"15784","Worthville, PA",67,1 
"15801","DuBois, PA",19270,1 
"15821","Benezett, PA",164,1 
"15823","Brockport, PA",1431,1 
"15824","Brockway, PA",5407,1 
"15825","Brookville, PA",9562,1 
"15827","Byrnedale, PA",231,1 
"15828","Clarington, PA",286,1 
"15829","Corsica, PA",1274,1 
"15832","Driftwood, PA",328,1 
"15834","Emporium, PA",4533,1 
"15840","Falls Creek, PA",1993,1 
"15841","Force, PA",389,1 
"15845","Johnsonburg, PA",3197,1 
"15846","Kersey, PA",3636,1 
"15847","Knox Dale, PA (PO Boxes)",255,1 
"15848","Luthersburg, PA",1027,1 
"15849","Penfield, PA",1399,1 
"15851","Reynoldsville, PA",6671,1 
"15853","Ridgway, PA",6578,1 
"15856","Rockton, PA",889,1 
"15857","St. Marys, PA",13212,1 
"15860","Sigel, PA",1065,1 
"15861","Sinnamahoning, PA",174,1 
"15863","Stump Creek, PA (PO Boxes)",225,1 
"15864","Summerville, PA",1845,1 
"15865","Sykesville, PA",1295,1 
"15866","Troutville, PA",261,1 
"15868","Weedville, PA",1350,1 
"15870","Wilcox, PA",1326,1 
"15901","Johnstown, PA",4190,1 
"15902","Johnstown, PA",12513,1 
"15904","Johnstown, PA",16608,1 
"15905","Johnstown, PA",21226,1 
"15906","Johnstown, PA",11144,1 
"15909","Johnstown, PA",5611,1 
"15920","Armagh, PA",922,1 
"15921","Beaverdale, PA",176,1 
"15922","Belsano, PA (PO Boxes)",177,1 
"15923","Bolivar, PA",1770,1 
"15924","Cairnbrook, PA",1034,1 
"15925","Cassandra, PA",147,1 
"15926","Central City, PA",2676,1 
"15927","Colver, PA",1176,1 
"15928","Davidsville, PA",1974,1 
"15929","Dilltown, PA (PO Boxes)",75,1 
"15930","Dunlo, PA",241,1 
"15931","Ebensburg, PA",9148,1 
"15934","Elton, PA (PO Boxes)",218,1 
"15935","Hollsopple, PA",2620,1 
"15936","Hooversville, PA",1620,1 
"15937","Jerome, PA",779,1 
"15938","Lilly, PA",2583,1 
"15940","Loretto, PA",3992,1 
"15942","Mineral Point, PA",2079,1 
"15943","Nanty-Glo, PA",3942,1 
"15944","New Florence, PA",3472,1 
"15945","Parkhill, PA",198,1 
"15946","Portage, PA",7093,1 
"15948","Revloc, PA",550,1 
"15949","Robinson, PA",672,1 
"15951","St. Michael, PA",453,1 
"15952","Salix, PA",1413,1 
"15953","Seanor, PA",83,1 
"15954","Seward, PA",2413,1 
"15955","Sidman, PA",2551,1 
"15956","South Fork, PA",2739,1 
"15957","Strongstown, PA",755,1 
"15958","Summerhill, PA",2301,1 
"15960","Twin Rocks, PA",425,1 
"15961","Vintondale, PA",854,1 
"15962","Wilmore, PA",149,1 
"15963","Windber, PA",11114,1 
"16001","Butler, PA",40371,1 
"16002","Butler, PA",15877,1 
"16020","Boyers, PA",1150,1 
"16022","Bruin, PA",368,1 
"16023","Cabot, PA",4169,1 
"16024","Callery, PA",209,1 
"16025","Chicora, PA",5564,1 
"16027","Connoquenessing, PA",306,1 
"16028","East Brady, PA",1886,1 
"16029","East Butler, PA",705,1 
"16030","Eau Claire, PA",316,1 
"16033","Evans City, PA",6165,1 
"16034","Fenelton, PA",2054,1 
"16035","Forestville, PA (PO Boxes)",122,1 
"16036","Foxburg, PA",200,1 
"16037","Harmony, PA",4589,1 
"16038","Harrisville, PA",3517,1 
"16040","Hilliards, PA",975,1 
"16041","Karns City, PA",1888,1 
"16045","Homeacre-Lyndora, PA",1195,1 
"16046","Mars, PA",14396,1 
"16048","North Washington, PA (PO Boxes)",139,1 
"16049","Parker, PA",3241,1 
"16050","Petrolia, PA",1546,1 
"16051","Portersville, PA",3043,1 
"16052","Prospect, PA",2447,1 
