"zcta5","zipname","pop10","afact"
"ZIP Census Tabulation Area","zipname","Total Pop, 2010 census","zcta5 to _us_ alloc factor"
"01506","Brookfield, MA",3390,1 
"01507","Charlton, MA",12981,1 
"01510","Clinton, MA",13606,1 
"01515","East Brookfield, MA",2183,1 
"01516","Douglas, MA",8500,1 
"01518","Fiskdale, MA",2974,1 
"01519","Grafton, MA",6595,1 
"01520","Holden, MA",13997,1 
"01521","Holland, MA",2481,1 
"01522","Jefferson, MA",3310,1 
"01523","Lancaster, MA",7582,1 
"01524","Leicester, MA",6696,1 
"01525","Linwood, MA (PO Boxes)",290,1 
"01527","Millbury, MA",13246,1 
"01529","Millville, MA",3190,1 
"01531","New Braintree, MA",999,1 
"01532","Northborough, MA",14155,1 
"01534","Northbridge, MA",5631,1 
"01535","North Brookfield, MA",4680,1 
"01536","North Grafton, MA",6888,1 
"01537","North Oxford, MA",2248,1 
"01540","Oxford, MA",11291,1 
"01541","Princeton, MA",3413,1 
"01542","Rochdale, MA",2202,1 
"01543","Rutland, MA",7973,1 
"01545","Shrewsbury, MA",35299,1 
"01550","Southbridge Town, MA",16719,1 
"01560","South Grafton, MA",4527,1 
"01561","South Lancaster, MA",330,1 
"01562","Spencer, MA",11688,1 
"01564","Sterling, MA",7808,1 
"01566","Sturbridge, MA",6294,1 
"01568","Upton, MA",7480,1 
"01569","Uxbridge, MA",13569,1 
"01570","Webster, MA",16767,1 
"01571","Dudley, MA",11390,1 
"01581","Westborough, MA",18272,1 
"01583","West Boylston, MA",7591,1 
"01585","West Brookfield, MA",4554,1 
"01588","Whitinsville, MA",9733,1 
"01590","Sutton, MA",8875,1 
"01602","Worcester, MA",22819,1 
"01603","Worcester, MA",19916,1 
"01604","Worcester, MA",34677,1 
"01605","Worcester, MA",26221,1 
"01606","Worcester, MA",19077,1 
"01607","Worcester, MA",8351,1 
"01608","Worcester, MA",3888,1 
"01609","Worcester, MA",22421,1 
"01610","Worcester, MA",23945,1 
"01611","Cherry Valley, MA",2242,1 
"01612","Paxton, MA",4845,1 
"01701","Framingham, MA",31217,1 
"01702","Framingham, MA",37206,1 
"01718","Village Of Nagog Woods, MA",469,1 
"01719","Boxborough, MA",4996,1 
"01720","Acton, MA",21361,1 
"01721","Ashland, MA",16593,1 
"01730","Bedford, MA",13221,1 
"01731","Hanscom Afb, MA",1396,1 
"01740","Bolton, MA",4897,1 
"01741","Carlisle, MA",4852,1 
"01742","Concord, MA",17726,1 
"01745","Fayville, MA",397,1 
"01746","Holliston, MA",13547,1 
"01747","Hopedale, MA",5911,1 
"01748","Hopkinton, MA",14925,1 
"01749","Hudson, MA",19063,1 
"01752","Marlborough, MA",38499,1 
"01754","Maynard, MA",10106,1 
"01756","Mendon, MA",5839,1 
"01757","Milford, MA",28061,1 
"01760","Natick, MA",32786,1 
"01770","Sherborn, MA",4119,1 
"01772","Southborough, MA",9370,1 
"01773","Lincoln, MA",5112,1 
"01775","Stow, MA",6590,1 
"01776","Sudbury, MA",17659,1 
"01778","Cochituate, MA",13109,1 
"01801","Woburn, MA",38903,1 
"01803","Burlington, MA",24487,1 
"01810","Andover, MA",33201,1 
"01821","Billerica, MA",30310,1 
"01824","Chelmsford, MA",24911,1 
"01826","Dracut, MA",29422,1 
"01827","Dunstable, MA",3179,1 
"01830","Haverhill, MA",25137,1 
"01832","Haverhill, MA",22060,1 
"01833","Georgetown, MA",8183,1 
"01834","Groveland, MA",6459,1 
"01835","Haverhill, MA",13682,1 
"01840","Lawrence, MA",4733,1 
"01841","Lawrence, MA",47225,1 
"01843","Lawrence, MA",24425,1 
"01844","Methuen Town, MA",47249,1 
"01845","North Andover, MA",28352,1 
"01850","Lowell, MA",15237,1 
"01851","Lowell, MA",30190,1 
"01852","Lowell, MA",33508,1 
"01854","Lowell, MA",27606,1 
"01860","Merrimac, MA",6338,1 
"01862","North Billerica, MA",10227,1 
"01863","North Chelmsford, MA",8891,1 
"01864","North Reading, MA",14892,1 
"01867","Reading, MA",23956,1 
"01876","Tewksbury, MA",28667,1 
"01879","Tyngsboro, MA",11305,1 
"01880","Wakefield, MA",24733,1 
"01886","Westford, MA",21951,1 
"01887","Wilmington, MA",22325,1 
"01890","Winchester, MA",21382,1 
"01901","Lynn, MA",1689,1 
"01902","Lynn, MA",45139,1 
"01904","Lynn, MA",18203,1 
"01905","Lynn, MA",25251,1 
"01906","Saugus, MA",26660,1 
"01907","Swampscott, MA",14027,1 
"01908","Nahant, MA",3410,1 
"01913","Amesbury Town, MA",16283,1 
"01915","Beverly, MA",39502,1 
"01921","Boxford, MA",7961,1 
"01922","Byfield, MA",3108,1 
"01923","Danvers, MA",26342,1 
"01929","Essex, MA",3504,1 
"01930","Gloucester, MA",28789,1 
"01937","Danvers, MA",151,1 
"01938","Ipswich, MA",13175,1 
"01940","Lynnfield, MA",12108,1 
"01944","Manchester, MA",5136,1 
"01945","Marblehead, MA",19808,1 
"01949","Middleton, MA",8987,1 
"01950","Newburyport, MA",17416,1 
"01951","Newbury, MA",3558,1 
"01952","Salisbury, MA",8283,1 
"01960","Peabody, MA",50944,1 
"01966","Rockport, MA",6952,1 
"01969","Rowley, MA",5856,1 
"01970","Salem, MA",41109,1 
"01982","South Hamilton, MA",7764,1 
"01983","Topsfield, MA",6089,1 
"01984","Wenham, MA",4875,1 
"01985","West Newbury, MA",4235,1 
"02019","Bellingham, MA",16332,1 
"02021","Canton, MA",21561,1 
"02025","Cohasset, MA",7542,1 
"02026","Dedham, MA",24711,1 
"02030","Dover, MA",5589,1 
"02032","East Walpole, MA",4226,1 
"02035","Foxboro, MA",16865,1 
"02038","Franklin Town, MA",31635,1 
"02043","Hingham, MA",22157,1 
"02045","Hull, MA",10293,1 
"02047","Humarock, MA (PO Boxes)",180,1 
"02048","Mansfield, MA",23184,1 
"02050","Marshfield, MA",25429,1 
"02052","Medfield, MA",12024,1 
"02053","Medway, MA",12752,1 
"02054","Millis-Clicquot, MA",7891,1 
"02056","Norfolk, MA",10981,1 
"02061","Norwell, MA",10506,1 
"02062","Norwood, MA",28602,1 
"02066","Scituate, MA",17656,1 
"02067","Sharon, MA",17486,1 
"02071","South Walpole, MA",1707,1 
"02072","Stoughton, MA",26999,1 
"02081","Walpole, MA",18472,1 
"02090","Westwood, MA",14636,1 
"02093","Wrentham, MA",10955,1 
"02108","Boston, MA",3825,1 
"02109","Boston, MA",3771,1 
"02110","Boston, MA",1733,1 
"02111","Boston, MA",7383,1 
"02113","Boston, MA",6915,1 
"02114","Boston, MA",11999,1 
"02115","Boston, MA",28441,1 
"02116","Boston, MA",20628,1 
"02118","Boston, MA",26498,1 
"02119","Boston, MA",25346,1 
"02120","Boston, MA",15181,1 
"02121","Boston, MA",25978,1 
"02122","Boston, MA",23479,1 
"02124","Boston, MA",47783,1 
"02125","Boston, MA",33295,1 
"02126","Boston, MA",25562,1 
"02127","Boston, MA",31799,1 
"02128","Boston, MA",40508,1 
"02129","Boston, MA",16439,1 
"02130","Boston, MA",35401,1 
"02131","Boston, MA",29826,1 
"02132","Boston, MA",25861,1 
"02134","Boston, MA",21503,1 
"02135","Boston, MA",42780,1 
"02136","Boston, MA",28488,1 
"02138","Cambridge, MA",36314,1 
"02139","Cambridge, MA",36349,1 
"02140","Cambridge, MA",17607,1 
"02141","Cambridge, MA",11910,1 
"02142","Cambridge, MA",3141,1 
"02143","Somerville, MA",24514,1 
"02144","Somerville, MA",23891,1 
"02145","Somerville, MA",25439,1 
"02148","Malden, MA",59503,1 
"02149","Everett, MA",41550,1 
"02150","Chelsea, MA",35124,1 
"02151","Revere, MA",51808,1 
"02152","Winthrop Town, MA",17497,1 
"02155","Medford, MA",57964,1 
"02163","Boston, MA",2582,1 
"02169","Quincy, MA",55055,1 
"02170","Quincy, MA",19505,1 
"02171","Quincy, MA",17711,1 
"02176","Melrose, MA",26983,1 
"02180","Stoneham, MA",21437,1 
"02184","Braintree Town, MA",35744,1 
"02186","Milton, MA",27003,1 
"02188","Weymouth Town, MA",14608,1 
"02189","Weymouth Town, MA",14559,1 
"02190","Weymouth Town, MA",16119,1 
"02191","Weymouth Town, MA",8457,1 
"02199","Boston, MA",1146,1 
"02210","Boston, MA",2090,1 
"02215","Boston, MA",26125,1 
"02301","Brockton, MA",61025,1 
"02302","Brockton, MA",32741,1 
"02322","Avon, MA",4356,1 
"02324","Bridgewater, MA",26563,1 
"02330","Carver, MA",11509,1 
"02332","Duxbury, MA",15059,1 
"02333","East Bridgewater, MA",13794,1 
"02338","Halifax, MA",7518,1 
"02339","Hanover, MA",13879,1 
"02341","Hanson, MA",10218,1 
"02343","Holbrook, MA",10745,1 
"02346","Middleboro, MA",23106,1 
"02347","Lakeville, MA",10612,1 
